SWIA_vel_x_b,SWIA_vel_x_e,temp_b,temp_e,density_b,density_e,mag_b,mag_e,f107_b,f107_e,pdyn_b,pdyn_e,begin,end
-240.5,-256.0,82.257,82.541,2.515,2.515,11.315999999999999,11.315999999999999,49.025,49.025,0.439,0.439,2015-07-02T12:59:56,2015-07-02T13:06:52
-276.5,-265.0,126.09200000000001,80.848,1.925,1.925,10.332,10.332,49.023,49.023,0.406,0.406,2015-07-02T13:56:52,2015-07-02T14:02:16
-276.5,-283.0,99.57700000000001,96.70299999999999,1.375,1.375,10.331,10.331,49.022,49.022,0.39899999999999997,0.39899999999999997,2015-07-02T14:16:52,2015-07-02T14:18:08
-263.5,-270.0,81.616,84.14399999999999,1.545,1.545,10.302,10.302,49.022,49.022,0.402,0.402,2015-07-02T14:06:52,2015-07-02T14:10:12
-187.5,-185.0,152.686,81.072,,,12.357999999999999,12.357999999999999,49.015,49.015,0.392,0.392,2015-07-02T16:37:16,2015-07-02T16:39:20
-205.0,-347.5,74.738,162.09799999999998,8.42,8.42,12.185,12.185,48.363,48.363,0.444,0.444,2015-07-03T01:41:28,2015-07-03T01:48:20
-346.0,-253.0,92.602,59.833999999999996,1.75,1.75,4.8260000000000005,4.8260000000000005,48.357,48.357,0.349,0.349,2015-07-03T03:29:52,2015-07-03T03:35:04
-230.0,-314.0,71.73899999999999,15.064,3.745,3.745,10.514000000000001,10.514000000000001,48.349,48.349,0.23600000000000002,0.23600000000000002,2015-07-03T06:15:48,2015-07-03T06:21:40
-344.0,-223.0,11.792,78.41,1.47,1.47,4.68,4.68,48.346000000000004,48.346000000000004,0.226,0.226,2015-07-03T07:23:12,2015-07-03T07:34:04
-218.0,-331.0,73.27600000000001,105.44200000000001,5.76,5.76,12.181,12.181,48.335,48.335,0.361,0.361,2015-07-03T11:00:16,2015-07-03T11:09:52
-179.5,-354.0,96.912,8.279,6.545,6.545,8.152000000000001,8.152000000000001,50.17,50.17,0.127,0.127,2015-07-04T13:14:28,2015-07-04T13:18:48
-304.0,-232.5,170.125,136.086,2.255,2.255,3.219,3.219,50.17,50.17,0.127,0.127,2015-07-04T13:11:02,2015-07-04T13:14:14
-343.0,-274.5,8.375,47.18899999999999,2.17,2.17,4.248,4.248,50.165,50.165,0.13699999999999998,0.13699999999999998,2015-07-04T14:56:56,2015-07-04T15:01:32
-262.0,-288.5,84.236,82.134,5.09,5.09,7.297000000000001,7.297000000000001,50.15,50.15,0.25,0.25,2015-07-04T19:38:00,2015-07-04T19:38:44
-135.0,-256.0,70.804,143.157,,,7.518,7.518,50.144,50.144,0.212,0.212,2015-07-04T21:48:08,2015-07-04T21:53:28
-200.0,-260.0,64.941,112.12299999999999,,,8.014,8.014,53.577,53.577,0.17300000000000001,0.17300000000000001,2015-07-05T02:16:12,2015-07-05T02:20:16
-323.0,-224.5,8.158999999999999,87.39299999999999,4.97,4.97,3.173,3.173,53.568999999999996,53.568999999999996,0.161,0.161,2015-07-05T04:43:48,2015-07-05T04:46:44
-191.0,-264.0,68.546,230.916,,,9.177,9.177,53.563,53.563,0.15,0.15,2015-07-05T06:42:00,2015-07-05T06:45:44
-189.0,-266.0,80.545,132.255,,,7.938,7.938,53.548,53.548,0.126,0.126,2015-07-05T11:07:28,2015-07-05T11:11:04
-301.0,-231.0,62.207,49.744,,,3.2,3.2,53.54,53.54,0.11900000000000001,0.11900000000000001,2015-07-05T13:35:36,2015-07-05T13:37:04
-188.0,-266.0,78.60600000000001,170.59599999999998,,,9.891,9.891,53.534,53.534,0.12,0.12,2015-07-05T15:32:08,2015-07-05T15:36:56
-157.0,-242.5,81.101,115.09,,,7.281000000000001,7.281000000000001,53.52,53.52,0.11,0.11,2015-07-05T19:59:04,2015-07-05T20:03:40
-313.0,-197.0,10.875,37.894,,,3.35,3.35,53.511,53.511,0.105,0.105,2015-07-05T22:32:56,2015-07-05T22:35:12
-189.0,-214.0,82.359,107.12299999999999,,,5.393,5.393,57.196999999999996,57.196999999999996,0.107,0.107,2015-07-06T00:15:04,2015-07-06T00:17:24
-277.0,-192.0,121.98299999999999,54.993,,,3.4930000000000003,3.4930000000000003,57.188,57.188,0.115,0.115,2015-07-06T02:53:32,2015-07-06T02:56:00
-310.0,-253.5,6.245,21.213,,,3.892,3.892,57.173,57.173,0.138,0.138,2015-07-06T07:17:12,2015-07-06T07:19:24
-164.0,-236.0,90.039,103.85799999999999,,,7.521,7.521,57.166000000000004,57.166000000000004,0.135,0.135,2015-07-06T09:13:12,2015-07-06T09:14:56
-262.5,-195.0,91.08200000000001,42.658,5.87,5.87,6.651,6.651,57.158,57.158,0.127,0.127,2015-07-06T11:30:44,2015-07-06T11:35:04
-159.0,-261.0,64.97399999999999,139.593,,,9.249,9.249,57.15,57.15,0.12,0.12,2015-07-06T13:39:36,2015-07-06T13:48:48
-289.0,-184.0,128.81799999999998,52.903999999999996,2.765,2.765,4.783,4.783,57.143,57.143,0.11900000000000001,0.11900000000000001,2015-07-06T15:47:08,2015-07-06T15:55:40
-204.0,-329.0,136.328,136.356,,,16.564,16.564,57.135,57.135,0.124,0.124,2015-07-06T18:09:16,2015-07-06T18:16:24
-414.5,-337.5,13.49,58.155,7.7,7.7,5.684,5.684,57.126000000000005,57.126000000000005,0.142,0.142,2015-07-06T20:43:40,2015-07-06T20:49:40
-245.0,-417.0,127.15700000000001,18.451,,,19.784000000000002,19.784000000000002,57.119,57.119,0.166,0.166,2015-07-06T22:40:20,2015-07-06T22:47:00
-375.5,-248.0,10.793,83.145,6.975,6.975,3.141,3.141,56.748000000000005,56.748000000000005,0.221,0.221,2015-07-07T10:05:56,2015-07-07T10:11:28
-208.0,-260.5,74.873,115.337,,,7.531000000000001,7.531000000000001,56.743,56.743,0.231,0.231,2015-07-07T11:41:56,2015-07-07T11:44:44
-219.0,-244.0,105.635,116.137,,,9.389,9.389,56.726000000000006,56.726000000000006,23.873,23.873,2015-07-07T16:22:08,2015-07-07T16:25:20
-243.5,-351.5,119.194,12.995999999999999,,,11.133,11.133,56.726000000000006,56.726000000000006,23.546,23.546,2015-07-07T16:27:56,2015-07-07T16:30:28
-271.5,-229.0,177.52700000000002,93.736,,,6.232,6.232,56.726000000000006,56.726000000000006,23.711,23.711,2015-07-07T16:25:02,2015-07-07T16:27:54
-340.0,-216.0,9.431000000000001,39.184,5.52,5.52,4.07,4.07,56.718,56.718,12.890999999999998,12.890999999999998,2015-07-07T18:54:52,2015-07-07T19:00:08
-162.0,-249.0,61.949,75.22399999999999,,,8.601,8.601,56.711000000000006,56.711000000000006,7.664,7.664,2015-07-07T20:43:20,2015-07-07T20:47:20
-241.0,-273.0,60.681000000000004,115.105,,,9.398,9.398,55.083,55.083,1.536,1.536,2015-07-08T01:12:32,2015-07-08T01:16:36
-249.5,-196.0,198.28799999999998,140.636,,,1.751,1.751,55.074,55.074,0.32799999999999996,0.32799999999999996,2015-07-08T03:59:24,2015-07-08T04:02:40
-265.0,-231.0,76.13600000000001,100.26799999999999,,,4.863,4.863,55.068999999999996,55.068999999999996,0.174,0.174,2015-07-08T05:24:16,2015-07-08T05:26:40
-258.0,-212.5,84.522,55.963,,,5.404,5.404,55.059,55.059,0.41,0.41,2015-07-08T08:16:00,2015-07-08T08:19:40
-188.5,-276.0,110.374,126.389,,,5.867999999999999,5.867999999999999,55.053000000000004,55.053000000000004,0.535,0.535,2015-07-08T10:02:36,2015-07-08T10:05:04
-330.0,-218.0,6.894,63.967,6.48,6.48,4.675,4.675,55.045,55.045,0.599,0.599,2015-07-08T12:33:20,2015-07-08T12:38:52
-169.5,-307.5,91.072,188.588,,,11.327,11.327,55.038000000000004,55.038000000000004,0.575,0.575,2015-07-08T14:37:32,2015-07-08T14:42:28
-370.0,-268.0,11.267000000000001,22.701,4.24,4.24,3.97,3.97,55.03,55.03,0.524,0.524,2015-07-08T16:59:12,2015-07-08T17:05:44
